State,Session,Bill-Number,Introduced,Name,Last-Action,Action-Date,Sponsor-List,Actions,Versions,Bill-Url,Source
MA,,S1920,,Senate; Thursday; May 26; 2011– Text of the Senate amendments to the House Bill making appropriations for the fiscal year 2012 for the maintenance of the departments; boards; commissions; institutions and certain activities of the Commonwealth; for interest; sinking fund and serial bond requirements and for certain permanent improvements (House; No. 3401).,No further action taken,1/1/2013,,3,1,https://www.billtrack50.com/BillDetail/129133,billtrack50
IL,,HB3501,,INC TX-EDUCATION,Session Sine Die,1/8/2013,David Winters,6,1,https://www.billtrack50.com/BillDetail/30734,billtrack50
VA,,HB1777,,Virginia Open Education Resources Council; established.,Tabled in Science and Technology by voice vote,1/30/2013,David Albo; Eileen Filler-Corn; Kaye Kory; K. Robert Krupicka; Lynwood Lewis; Alfonso Lopez; Joe May; Delores McQuinn; Kenneth Plum; James Scott; Scott Surovell; David Toscano; Roslyn Tyler,3,1,https://www.billtrack50.com/BillDetail/305390,billtrack50
OK,,HB1840,,Technology; requiring transfer of certain assets and positions of the Oklahoma State Regents for Higher Education and OneNet; effective date.,Second Reading referred to Government Modernization,2/5/2013,David Derby,3,1,https://www.billtrack50.com/BillDetail/312826,billtrack50
VA,,HR208,,Celebrating the life of Dawn Lawson.,Bill text as passed House (HR208ER),2/21/2013,David Bulova; Eileen Filler-Corn; Mark Keam,5,2,https://www.billtrack50.com/BillDetail/371743,billtrack50
MN,,SF824,,Open educational resource council establishment and appropriation,Referred to Higher Education and Workforce Development,2/28/2013,Kent Eken; Susan Kent; Jeremy Miller; Tim Miller,2,1,https://www.billtrack50.com/BillDetail/383624,billtrack50
VA,,SJR431,,Celebrating the life of Dawn Michele Lawson.,Bill text as passed Senate and House (SJ431ER),3/5/2013,Dave Marsden,8,2,https://www.billtrack50.com/BillDetail/372678,billtrack50
MN,,HF789,,Open Education Resource Council established; and money appropriated.,Committee report; to pass as amended and re-refer to Higher Education Finance and Policy,3/7/2013,Kathy Brynaert; Zachary Dorholt; David Fitzsimmons; Ben Lien; Kim Norton; Chris Swedzinski; Ryan Winkler,2,2,https://www.billtrack50.com/BillDetail/375348,billtrack50
US,,S626,,A bill to de-link research and development incentives from drug prices for new medicines to treat HIV/AIDS and to stimulate greater sharing of scientific knowledge.,Read twice and referred to the Committee on Health; Education; Labor; and Pensions.,3/20/2013,Bernard Sanders,1,1,https://www.billtrack50.com/BillDetail/401488,billtrack50
US,,S627,,A bill to provide incentives for investment in research and development for new medicines; to enhance access to new medicines; and for other purposes.,Read twice and referred to the Committee on Health; Education; Labor; and Pensions.,3/20/2013,Bernard Sanders,1,1,https://www.billtrack50.com/BillDetail/401500,billtrack50
UT,,SB0162,,Concurrent Enrollment Amendments,Governor Signed in ELTGOV,3/22/2013,Don Ipson; Stephen Urquhart,43,3,https://www.billtrack50.com/BillDetail/342556,billtrack50
AZ,,HB2230,,Information services; technology,Referred to Senate RULES Committee,3/26/2013,Steve Smith; David Stevens; Bob Thorpe,26,2,https://www.billtrack50.com/BillDetail/307679,billtrack50
OK,,SB977,,Multiple versions of statutes; amending; merging and repealing multiple versions of statutes. Effective date. Emergency.,Approved by Governor 04/08/2013,4/8/2013,Leslie Osborn; Anthony Sykes,19,3,https://www.billtrack50.com/BillDetail/312032,billtrack50
OK,,SB977,,Multiple versions of statutes; amending; merging and repealing multiple versions of statutes. Effective date. Emergency.,Approved by Governor 04/08/2013,4/8/2013,Leslie Osborn; Anthony Sykes,19,3,https://www.billtrack50.com/BillDetail/430295,billtrack50
OK,,HB2062,,Technology; county purchasing procedures; updating language and modifying duties of the Information Services Division of the Office of Management and Enterprise Services and the Chief Information Officer; effective date; emergency.,Approved by Governor 05/29/2013,5/24/2013,David Derby; Michael Jackson; Clark Jolley; Jason Murphey,38,3,https://www.billtrack50.com/BillDetail/312588,billtrack50
OK,,HB2062,,Technology; county purchasing procedures; updating language and modifying duties of the Information Services Division of the Office of Management and Enterprise Services and the Chief Information Officer; effective date; emergency.,Approved by Governor 05/29/2013,5/24/2013,David Derby; Clark Jolley; Jason Murphey,38,3,https://www.billtrack50.com/BillDetail/429664,billtrack50
